epoch,train_loss,valid_loss,accuracy,balanced_accuracy_score,f1_score,time
0,0.008344583213329315,0.009955734945833683,0.9494498372077942,0.8165457033363919,0.7372861495195687,00:55
1,0.008280943147838116,0.010077695362269878,0.9494648575782776,0.8158937918985092,0.736891532321177,00:52
2,0.00850612111389637,0.009913706220686436,0.9493446350097656,0.8151659003167706,0.7359761830147289,00:53
3,0.008564511314034462,0.009852087125182152,0.9493296146392822,0.8157577796022817,0.7363316386390301,00:53
4,0.008471271023154259,0.010034781880676746,0.9492244124412537,0.8140177836684299,0.7347675879396985,00:53
5,0.008471282199025154,0.009934801608324051,0.9492394328117371,0.8143263866684947,0.735033346410357,00:53
6,0.00836719200015068,0.010098565369844437,0.9485479593276978,0.808535149997554,0.728570295773531,00:53
7,0.008321666158735752,0.010080679319798946,0.9490139484405518,0.8105377918007262,0.7316031017566069,00:53
8,0.00830181036144495,0.010379135608673096,0.9490740895271301,0.8104514964488075,0.7317498020585906,00:53
9,0.008337564766407013,0.009788166731595993,0.94893878698349,0.8204609179034026,0.7381888246628132,00:53
10,0.008199936710298061,0.010193455033004284,0.9492544531822205,0.8180568223537481,0.7376437674852346,00:53
11,0.008247540332376957,0.010177185758948326,0.9490439891815186,0.8080333258775259,0.7299235181644359,00:53
12,0.008475067093968391,0.00971617829054594,0.9490439891815186,0.8241219427131496,0.7409841075794621,00:53
13,0.008585491217672825,0.009691577404737473,0.9488786458969116,0.8182659914651955,0.7364995738746417,00:53
14,0.008417628705501556,0.010097377002239227,0.9489538073539734,0.815726820104242,0.7350187265917603,00:53
15,0.008626827038824558,0.01009396929293871,0.9491492509841919,0.8108539005540689,0.7322940571338133,00:52
16,0.008405163884162903,0.010271265171468258,0.9488786458969116,0.8169452841130174,0.7355982274741507,00:53
17,0.008456455543637276,0.010243519209325314,0.9483826160430908,0.8091026390533749,0.7284087314141094,00:53
