epoch,train_loss,valid_loss,accuracy,balanced_accuracy_score,f1_score,time
0,0.014824127778410912,0.014445279724895954,0.9233255386352539,0.7174678870993749,0.5650208919587277,00:56
1,0.012873969972133636,0.013308955356478691,0.9314724802970886,0.7348304286623102,0.6073550943071226,00:53
2,0.011808427982032299,0.012718928046524525,0.9376353025436401,0.7674673723795106,0.6591637229935102,00:53
3,0.011174388229846954,0.01224440522491932,0.9398899674415588,0.7783988846422881,0.6760631834750911,00:53
4,0.010714990086853504,0.012162694707512856,0.9402056336402893,0.7791764931683356,0.6777381723914453,00:53
5,0.010625188238918781,0.011715615168213844,0.9405813813209534,0.7829894782657942,0.6822091808023152,00:53
6,0.010552192106842995,0.01164058968424797,0.9402206540107727,0.7834472182249346,0.681457749299159,00:53
7,0.010401410982012749,0.01166595984250307,0.9404160380363464,0.7845775139119345,0.6830321445706061,00:53
8,0.010151421651244164,0.011673604138195515,0.9401004314422607,0.7826592944908242,0.6804074103777368,00:53
9,0.010096433572471142,0.011643451638519764,0.9398749470710754,0.7800113105181187,0.6774193548387097,00:53
10,0.01010856218636036,0.011410982348024845,0.9399651288986206,0.7823431857374816,0.6797113071371291,00:53
11,0.010170961730182171,0.011146629229187965,0.9400703310966492,0.7897262039942761,0.6862359329503424,00:53
12,0.010104652494192123,0.011397868394851685,0.9398899674415588,0.7807401385847856,0.6780970780004829,00:53
13,0.010022725909948349,0.011274798773229122,0.9402356743812561,0.7831554997012822,0.6812570145903479,00:53
14,0.010026901960372925,0.011208045296370983,0.9409722089767456,0.7925139600767734,0.6913463805706201,00:53
15,0.010138693265616894,0.01123008318245411,0.9402206540107727,0.7905310122047988,0.6873673453344864,00:53
16,0.009927451610565186,0.011270235292613506,0.940401017665863,0.7882910651207756,0.686089779114876,00:53
17,0.009984524920582771,0.011209504678845406,0.9404311180114746,0.7903490427778268,0.6878790265417027,00:53
18,0.009699366055428982,0.011305803433060646,0.9413930773735046,0.7927503427465469,0.6928712091374557,00:53
19,0.009761244058609009,0.011362607590854168,0.941077470779419,0.7969554028673531,0.6952262478619189,00:53
20,0.009869600646197796,0.011314249597489834,0.9406415224075317,0.7940091311026456,0.6915084759003203,00:53
21,0.009732479229569435,0.0117019759491086,0.9405964612960815,0.7819173417613092,0.6813417190775681,00:53
22,0.009613826870918274,0.011625641025602818,0.9407166838645935,0.7834256513238803,0.6830091625140652,00:53
23,0.009581968188285828,0.011402991600334644,0.9412277340888977,0.7871945522604513,0.6877994251038007,00:53
24,0.009663522243499756,0.011287353932857513,0.9411976933479309,0.7914399506024317,0.69119040101042,00:53
25,0.009581326507031918,0.011246593669056892,0.9411075115203857,0.7979928339340849,0.6961377384830153,00:53
26,0.00951504148542881,0.011498276144266129,0.941453218460083,0.7884017645762353,0.6895177361498606,00:53
27,0.009638402611017227,0.011684774421155453,0.9411525726318359,0.7902740129927502,0.6900973640465448,00:53
