epoch,train_loss,valid_loss,accuracy,balanced_accuracy_score,f1_score,time
0,0.01076663751155138,0.009657624177634716,0.9492844939231873,0.8169931280874694,0.7370226032735776,00:56
1,0.010592489503324032,0.009452634491026402,0.9489989280700684,0.8140712465524522,0.7340283765775654,00:54
2,0.010561901144683361,0.009447617456316948,0.9489989280700684,0.8132908285716196,0.7334851936218679,00:55
3,0.010482619516551495,0.009539036080241203,0.9487283825874329,0.8064152672182743,0.7276646706586827,00:54
4,0.010495350696146488,0.009438867680728436,0.9488636255264282,0.8112938195518685,0.7316188071946987,00:54
5,0.010428553447127342,0.009414292871952057,0.948397696018219,0.8076102774822879,0.7273882315572143,00:55
6,0.010181659832596779,0.009422816336154938,0.9489538073539734,0.8100237656289276,0.7310312054490734,00:54
7,0.010284175164997578,0.009447013959288597,0.9483375549316406,0.8065559619391437,0.7264188490010347,00:55
8,0.010337287560105324,0.00936506874859333,0.9488636255264282,0.8133349127325074,0.7330508474576272,00:55
9,0.010410764254629612,0.009408124722540379,0.9481571912765503,0.8125179024702142,0.7300618298505127,00:54
10,0.010356844402849674,0.009365609847009182,0.9491492509841919,0.8160766978104095,0.7359300601045975,00:54
11,0.010354251600801945,0.009480987675487995,0.9476160407066345,0.8034492876485185,0.7216675984346298,00:55
12,0.010268918238580227,0.009348706342279911,0.9481722116470337,0.8122261839465617,0.7299075669747768,00:54
13,0.010286352597177029,0.009356237947940826,0.9479767680168152,0.8092348915360381,0.7271150358747929,00:54
14,0.01019234862178564,0.00939064659178257,0.9474506974220276,0.8069583521705542,0.7236800505848878,00:55
15,0.010261149145662785,0.009514248929917812,0.9473755359649658,0.8017533758755544,0.7195835002002403,00:54
16,0.010209727101027966,0.009237662889063358,0.9495099782943726,0.8216822052408138,0.7409578159944474,00:55
17,0.010020582005381584,0.009450794197618961,0.9482172727584839,0.8152531182797669,0.7321775635543808,00:54
18,0.01011834479868412,0.0092933289706707,0.9485479593276978,0.8148985581489575,0.733057786789363,00:55
19,0.010285569354891777,0.009372067637741566,0.9479467272758484,0.8145608686207098,0.7307782010417477,00:54
20,0.01041586697101593,0.00936757680028677,0.9482022523880005,0.8090013321949006,0.7277180783817953,00:54
21,0.010428043082356453,0.009331385605037212,0.947931706905365,0.8071684716407806,0.7254715485813917,00:54
