epoch,train_loss,valid_loss,accuracy,balanced_accuracy_score,f1_score,time
0,0.016305122524499893,0.015590614639222622,0.9176136255264282,0.6554883594090972,0.4599467927874668,01:07
1,0.013930410146713257,0.01419502217322588,0.9247986078262329,0.6914608543334182,0.5339543549138333,00:55
2,0.012980948202311993,0.013647850602865219,0.9310516119003296,0.7171847218047349,0.5852247038611086,00:55
3,0.012235944159328938,0.012406506575644016,0.9383718371391296,0.7642791129093102,0.6584471842719094,00:56
4,0.011809956282377243,0.012151982635259628,0.9396795630455017,0.7680151952518355,0.6660564200715653,00:56
5,0.011371513828635216,0.012099569663405418,0.9403108358383179,0.7743729844936686,0.6738398357289527,00:56
6,0.01131871622055769,0.011776873841881752,0.9400102496147156,0.7781062296337073,0.6761866125760648,00:56
7,0.011025168001651764,0.011764120310544968,0.9401304721832275,0.7779336389298699,0.6764156308392233,00:56
8,0.01112612709403038,0.011743114329874516,0.9394841194152832,0.7737285649352128,0.6706479057591623,00:56
9,0.01082735788077116,0.011833051219582558,0.9393187761306763,0.7739958932291751,0.6703682534498244,00:56
10,0.01090066134929657,0.012024964205920696,0.9386724233627319,0.7645079898258058,0.6596028700150175,00:56
11,0.010713806375861168,0.01184444222599268,0.9390332102775574,0.7760566803410115,0.6713128038897893,00:56
12,0.01062789373099804,0.0115370387211442,0.939393937587738,0.7782403550862272,0.6743660151833306,00:56
13,0.01063281949609518,0.011810037307441235,0.9388979077339172,0.7736394462546583,0.6687311547551137,00:56
14,0.01058236975222826,0.011847896501421928,0.9391384124755859,0.7741947471325594,0.6699812535658979,00:56
15,0.010477324016392231,0.011667991988360882,0.9389430284500122,0.7750455124738267,0.6701315575767419,00:56
16,0.010553259402513504,0.011949782259762287,0.9392436146736145,0.7748541643237201,0.6709005048037778,00:56
17,0.010338250547647476,0.011761484667658806,0.9391534328460693,0.7700009387047444,0.6662269129287599,00:56
18,0.010417264886200428,0.011240622028708458,0.9394089579582214,0.7815505657048787,0.6772876471059163,00:56
19,0.010417175479233265,0.012164000421762466,0.939559280872345,0.7726301652311809,0.66989573926607,00:56
20,0.010429121553897858,0.012060580775141716,0.9387626051902771,0.7735034339584308,0.6681870011402509,00:56
21,0.010429147630929947,0.012331383302807808,0.9394991397857666,0.7823216049625765,0.6782316731952994,00:56
22,0.010283038020133972,0.011626087129116058,0.9402056336402893,0.7833787438343567,0.681352130727331,00:56
23,0.010261736810207367,0.012439027428627014,0.9386273622512817,0.7573988691313229,0.6525993363396579,00:56
24,0.010257752612233162,0.011592417024075985,0.9397697448730469,0.7849949156499008,0.681351888667992,00:56
25,0.010154408402740955,0.011630648747086525,0.9398298263549805,0.7803461767177304,0.6775674587192911,00:56
26,0.010238422080874443,0.01131961215287447,0.9406265020370483,0.7923798207504027,0.6901474741135863,00:56
27,0.010096258483827114,0.011946434155106544,0.939980149269104,0.7866139107940806,0.6833716596621997,00:56
28,0.010098453611135483,0.011160057969391346,0.9405363202095032,0.7922691351687938,0.6897741530740277,00:56
29,0.009952732361853123,0.011762188747525215,0.9405212998390198,0.7837961594461736,0.6827038729853259,00:56
30,0.01010462548583746,0.01203874684870243,0.9398749470710754,0.7718469377955633,0.6701846965699209,00:56
31,0.010067513212561607,0.012417304329574108,0.9396795630455017,0.7720973816131131,0.669793466633753,00:56
32,0.009922239929437637,0.01142594963312149,0.9408519864082336,0.7898650396191396,0.6888098062475287,00:56
33,0.009918485768139362,0.011544185690581799,0.9408068656921387,0.7966833782748981,0.6941596769182976,00:56
34,0.00984169915318489,0.01142027322202921,0.940987229347229,0.7896408590011366,0.6890543323301125,00:56
35,0.009852748364210129,0.011458449065685272,0.9407016634941101,0.7859985916376585,0.6851304972463884,00:56
36,0.009861809201538563,0.01216612383723259,0.9407016634941101,0.7752528363631188,0.6758688686221346,00:56
37,0.00986990425735712,0.011336784809827805,0.9409271478652954,0.7877460933247882,0.6873010821133037,00:56
38,0.00979453045874834,0.011347221210598946,0.9412277340888977,0.7886353239173728,0.6889914094813872,00:56
39,0.009906144812703133,0.011834286153316498,0.9408369660377502,0.7772498453828699,0.6780631441190905,00:56
40,0.010193165391683578,0.011746467091143131,0.9388527870178223,0.7667704541696624,0.6622945376058442,00:56
41,0.010068398900330067,0.011601108126342297,0.9411525726318359,0.7839106048413469,0.6848079864745189,00:56
42,0.010074703954160213,0.011506885290145874,0.9408218860626221,0.7852857115624756,0.6849139655862345,00:56
43,0.010090377181768417,0.012411665171384811,0.9396494626998901,0.7720204649843291,0.6696288982144326,00:56
44,0.010012509301304817,0.012359420768916607,0.9401755928993225,0.7680536605031529,0.6676686706746827,00:56
45,0.009922660887241364,0.01232968270778656,0.9406565427780151,0.773906802296322,0.6745259686727123,00:56
46,0.010049393400549889,0.011859013698995113,0.9406415224075317,0.778100610724137,0.6781843370548447,00:56
47,0.010002704337239265,0.012315111234784126,0.93951416015625,0.7752462532209186,0.6720990873533246,00:56
48,0.009903885424137115,0.011922943405807018,0.9414081573486328,0.7818929654054698,0.6839117742458644,00:56
49,0.010031726211309433,0.011740721762180328,0.9412127137184143,0.7814230233945589,0.6828833211708425,00:56
50,0.010117752477526665,0.012726545333862305,0.9393789172172546,0.7676662540305964,0.6647826448341784,00:56
51,0.009849085472524166,0.011980622075498104,0.9414381980895996,0.7796886602441282,0.6821148825065274,00:56
52,0.01001759897917509,0.011598631739616394,0.9411225318908691,0.7820327236414109,0.6831162527303617,00:56
53,0.009924361482262611,0.011700977571308613,0.9408068656921387,0.7820355330961959,0.6821117210203422,00:56
54,0.009990867227315903,0.011681967414915562,0.9408068656921387,0.7781334431920335,0.6787404144232337,00:56
55,0.009840521961450577,0.01128701027482748,0.9416937232017517,0.7858954256831783,0.6882083433807572,00:56
