epoch,train_loss,valid_loss,accuracy,balanced_accuracy_score,f1_score,time
0,0.00996483489871025,0.009356976486742496,0.9486231207847595,0.8187828270917792,0.7359802255522941,00:58
1,0.009960541501641273,0.009361328557133675,0.9485630393028259,0.8189891867484413,0.7359160364253743,00:54
2,0.010044396854937077,0.009391257539391518,0.9486682415008545,0.8129850350263399,0.7321358537924544,00:55
3,0.010014291852712631,0.009335868060588837,0.9488636255264282,0.8199384494933977,0.7375809935205184,00:54
4,0.010124212130904198,0.00951892975717783,0.9478415250778198,0.8078382040400043,0.7256483238456672,00:55
5,0.010022214613854885,0.009372878819704056,0.9483225345611572,0.8193343681561162,0.7353348729792148,00:54
6,0.010096251964569092,0.009300877340137959,0.948983907699585,0.8171244440852041,0.7360808709175738,00:55
7,0.00988007802516222,0.009365149773657322,0.9481270909309387,0.8174236544882836,0.7333693888588426,00:55
8,0.009771967306733131,0.009461921639740467,0.9486081004142761,0.8164931630634473,0.7343640742755031,00:55
9,0.00983364600688219,0.009432423859834671,0.9477513432502747,0.8166122770094115,0.7315415508186592,00:54
10,0.010012118145823479,0.009327800013124943,0.9479918479919434,0.8160869991446216,0.731990704879938,00:55
11,0.01000261027365923,0.009404096752405167,0.9481421113014221,0.8191730291452701,0.7346153846153846,00:55
12,0.00991780310869217,0.009382192976772785,0.9492093324661255,0.819292170838936,0.7383257182684116,00:54
13,0.009744897484779358,0.00934136938303709,0.948397696018219,0.8264003411746396,0.7402980558287313,00:55
14,0.010076583363115788,0.009242472238838673,0.9497354626655579,0.8248104464324932,0.7437940545510265,00:55
15,0.00997654628008604,0.009374101646244526,0.9486682415008545,0.8264922693099793,0.7412682778998411,00:54
16,0.0099286288022995,0.009383591823279858,0.9480218887329102,0.8240281277341024,0.7374734284846645,00:55
17,0.009809307754039764,0.009375480003654957,0.9478415250778198,0.8253675925325497,0.7377569528415961,00:55
18,0.009776183404028416,0.00946399662643671,0.949404776096344,0.8254051351727896,0.7430534351145037,00:54
19,0.009876832365989685,0.009710940532386303,0.9486532211303711,0.8165184897780658,0.7345352813179982,00:55
20,0.010024652816355228,0.009451590478420258,0.9474506974220276,0.817944236054581,0.7314487632508834,00:55
21,0.01016143523156643,0.009401822462677956,0.9479918479919434,0.8159069026875064,0.7318660880347179,00:55
22,0.010104184038937092,0.009461522102355957,0.948983907699585,0.8192856015705865,0.7375502629137024,00:55
23,0.010082665830850601,0.009490186348557472,0.9481120705604553,0.8114720291652762,0.7291699356660912,00:55
24,0.010107317939400673,0.009469793178141117,0.9471200108528137,0.8180586675759034,0.7304214559386972,00:55
25,0.01017211377620697,0.009267162531614304,0.9491943120956421,0.8193437607531014,0.7383090740167234,00:54
26,0.009933597408235073,0.00970626063644886,0.9475558996200562,0.8119400843324796,0.7276133968303536,00:55
27,0.01003172341734171,0.009650280699133873,0.9462181329727173,0.8068664101613636,0.7194605613925042,00:55
28,0.010008004494011402,0.009560483507812023,0.947510838508606,0.8189985515977252,0.7323727774371551,00:55
29,0.010091160424053669,0.009361667558550835,0.9487584233283997,0.8149567173314725,0.7338174435855391,00:54
30,0.010004822164773941,0.009700262919068336,0.9479467272758484,0.8133602255732751,0.7299383919519613,00:55
31,0.010066306218504906,0.009345490485429764,0.9488786458969116,0.8189263451412845,0.7369479464769123,00:54
32,0.010026075877249241,0.009420797228813171,0.9488636255264282,0.8145955879323137,0.7339277334584703,00:55
33,0.009977863170206547,0.009491203352808952,0.9496151804924011,0.8239624905460112,0.7428264538898266,00:54
34,0.009964805096387863,0.009481733664870262,0.9477362632751465,0.8297508761406144,0.7402704115933367,00:54
35,0.009982932358980179,0.009464990347623825,0.9477062225341797,0.8216296510940184,0.7348121045811419,00:54
36,0.009915336966514587,0.009440723806619644,0.9488034844398499,0.8116802756656458,0.7316842602804474,00:55
37,0.009990965947508812,0.009342316538095474,0.9496452808380127,0.818756577766083,0.7394618136568674,00:54
38,0.009984420612454414,0.009274819865822792,0.9492244124412537,0.8236229280479068,0.7412683823529412,00:55
39,0.01004856452345848,0.009602640755474567,0.9468494653701782,0.8119034920510189,0.7252098228162885,00:54
40,0.009997704066336155,0.00946814939379692,0.9479617476463318,0.825915387657173,0.7385196374622357,00:55
